MonthlyExpenseFood,MonthlyExpenseGrocery,Ratio
200,350,0.3636363636
200,580,0.2564102564
200,200,0.5
150,700,0.1764705882
750,500,0.6
700,1000,0.4117647059
150,50,0.75
100,150,0.4
250,100,0.7142857143
100,200,0.3333333333
2000,1000,0.6666666667
30,40,0.4285714286
99,150,0.3975903614
354,300,0.5412844037
500,500,0.5
500,800,0.3846153846
600,800,0.4285714286
45,100,0.3103448276
323,123,0.7242152466
300,1250,0.1935483871
1000,200,0.8333333333
800,500,0.6153846154
150,150,0.5
120,500,0.1935483871
300,350,0.4615384615
150,200,0.4285714286
50,350,0.125
350,250,0.5833333333
400,80,0.8333333333
400,300,0.5714285714
400,250,0.6153846154
350,300,0.5384615385
95,250,0.2753623188
25,50,0.3333333333
300,350,0.4615384615
100,20,0.8333333333
